team,defensive_value
Morocco,0.1709323326667254
Costa Rica,0.1414688267916517
United States,0.13416925454263265
Croatia,0.1159363250366496
Brazil,0.10994120422201528
Wales,0.1050900683271436
Switzerland,0.10472016822629249
Argentina,0.09738641236769484
Poland,0.09506369811935837
Australia,0.0941611547797734
Denmark,0.08522132812173593
Iran,0.08318981087389447
Ecuador,0.08309327793479086
France,0.07685802978417593
South Korea,0.07180107340163236
Netherlands,0.07138903962772603
Qatar,0.07101806269681103
Germany,0.06440490163801653
Canada,0.05829375077827066
Spain,0.05827002141874226
Cameroon,0.056930211753331884
Uruguay,0.05561847192019495
Senegal,0.054223316448949524
Tunisia,0.04741714022039406
Saudi Arabia,0.046125070045666024
Serbia,0.04059945406530675
Mexico,0.03869395152609774
Belgium,0.03647787117326827
Japan,0.03627386947343841
Ghana,0.025913015726763418
Portugal,0.018529968871573505
England,0.0157541439742097
