team,offensive_value
France,0.6506806553614961
England,0.5935728013324295
Croatia,0.5500274407302805
Netherlands,0.5210965469572406
Argentina,0.4994795351849824
Portugal,0.44902707474501513
Brazil,0.44126544809906976
Spain,0.4301207295933306
Morocco,0.3957104585396277
Germany,0.38512526940893627
Senegal,0.32510508915575664
Japan,0.3082335952384779
Serbia,0.29423746348651447
Cameroon,0.2726310154737448
Ghana,0.26557158601261416
Australia,0.25046805082009554
Iran,0.24420823780727569
South Korea,0.23715037417816273
Switzerland,0.22229812706115157
United States,0.20396031750283167
Mexico,0.20098938544248718
Ecuador,0.19765560830630627
Uruguay,0.18037494213734293
Denmark,0.17467233974117452
Saudi Arabia,0.17037150994844127
Tunisia,0.1533565376367124
Costa Rica,0.12107003899687423
Poland,0.10761229103051757
Belgium,0.10055205887392064
Qatar,0.09979518501385627
Wales,0.07182779599152155
Canada,0.06038982626235627
