team,vaep_value
France,0.7275386851456721
Croatia,0.6659637657669302
England,0.6093269453066392
Argentina,0.5968659475526773
Netherlands,0.5924855865849666
Morocco,0.5666427912063532
Brazil,0.551206652321085
Spain,0.48839075101207285
Portugal,0.4675570436165886
Germany,0.4495301710469528
Senegal,0.3793284056047062
Australia,0.344629205599869
Japan,0.34450746471191634
United States,0.33812957204546434
Serbia,0.3348369175518212
Cameroon,0.32956122722707676
Iran,0.3273980486811702
Switzerland,0.3270182952874441
South Korea,0.3089514475797951
Ghana,0.2914846017393776
Ecuador,0.2807488862410972
Costa Rica,0.262538865788526
Denmark,0.2598936678629105
Mexico,0.23968333696858496
Uruguay,0.23599341405753793
Saudi Arabia,0.21649657999410724
Poland,0.20267598914987595
Tunisia,0.20077367785710654
Wales,0.17691786431866516
Qatar,0.17081324771066733
Belgium,0.13702993004718894
Canada,0.11868357704062694
